delta_score,deviation_from_pv,threats_to_opponent,threats_from_opponent,legal_moves_diff,sacrifice,advantage_change,mate_distance,king_under_attack,is_capture,is_check,is_checkmate,cnt_promotion,is_used_promotion,is_castling,target
-28.666666666666657,1,2,1,-1,0,0,0.0,0,False,False,False,0,False,False,0
-119.33333333333333,1,1,3,1,0,1,0.0,0,False,False,False,0,False,False,0
228.66666666666666,0,4,1,-1,0,0,0.0,0,True,False,False,0,False,False,0
172.0,0,0,3,-3,0,0,0.0,0,True,False,False,0,False,False,0
54.0,0,3,1,0,0,0,0.0,0,True,False,False,0,False,False,0
47.0,1,1,3,0,0,0,0.0,0,False,False,False,0,False,False,0
74.83333333333333,0,4,1,-27,0,0,0.0,1,False,True,False,0,False,False,0
366.5,0,1,2,-7,0,1,0.0,0,True,False,False,0,False,False,0
366.33333333333337,0,4,0,-11,0,1,0.0,0,True,False,False,0,False,False,0
41.66666666666667,0,2,5,-1,0,0,0.0,0,False,False,False,0,False,False,0
247.33333333333331,0,5,1,-6,0,0,0.0,0,True,False,False,0,False,False,0
195.0,0,0,1,-13,0,0,0.0,0,True,False,False,0,False,False,0
-25.0,1,2,0,-20,0,0,0.0,1,False,True,False,0,False,False,0
65.66666666666667,0,1,2,-1,0,0,0.0,0,False,False,False,0,False,False,0
30.0,0,3,1,-22,0,0,0.0,1,True,True,False,0,False,False,0
17.666666666666657,0,0,1,-6,0,0,0.0,0,True,False,False,0,False,False,0
33.33333333333333,0,2,0,-29,0,0,0.0,1,False,True,False,0,False,True,0
-5.0,1,0,1,1,0,0,0.0,0,False,False,False,0,False,False,0
42.66666666666666,0,1,0,0,0,0,0.0,0,False,False,False,0,False,False,0
-113.00000000000003,1,0,2,-3,0,0,0.0,0,False,False,False,0,False,False,0
28.0,0,3,0,-35,0,0,0.0,1,False,True,False,0,False,False,1
-39.0,1,0,2,0,0,0,0.0,0,False,False,False,0,False,False,1
117.0,0,3,1,-32,0,0,0.0,1,False,True,False,0,False,False,1
-72.99999999999994,1,1,2,-2,0,0,0.0,0,False,False,False,0,False,False,1
-14.0,0,2,1,-2,0,0,0.0,0,True,False,False,0,False,False,1
-0.6666666666667425,0,0,1,1,0,0,0.0,0,True,False,False,0,False,False,1
-15.333333333333371,1,2,1,-26,0,0,0.0,1,False,True,False,0,False,False,1
2.6666666666666856,1,2,1,-3,0,0,0.0,0,False,False,False,0,False,False,1
3277.333333333333,0,2,2,-27,0,0,3.0,1,False,True,False,0,False,False,1
193.33333333333303,0,2,1,2,0,0,-3.0,0,False,False,False,0,False,False,1
6410.333333333332,0,1,1,0,0,0,1.3333333333333333,0,False,False,False,0,False,False,1
1.0,1,2,0,1,0,0,-2.3333333333333335,0,False,False,False,0,False,False,1
2.3333333333339397,0,1,2,-26,0,0,-0.0,1,False,True,True,0,False,False,1
5.666666666666664,0,0,0,0,0,0,0.0,0,False,False,False,0,False,False,0
6.333333333333332,0,0,0,-1,0,0,0.0,0,False,False,False,0,False,False,0
10.666666666666664,0,1,1,1,0,0,0.0,0,False,False,False,0,False,False,0
10.666666666666664,0,1,1,0,0,0,0.0,0,False,False,False,0,False,False,0
4.666666666666668,0,1,1,0,0,0,0.0,0,False,False,False,0,False,False,0
